Rank,Player,Team,Position,Age,ETA
1,Vladimir Guerrero Jr.,Blue Jays,3B,19,2019
2,Eloy Jimenez,White Sox,OF,22,2019
3,Victor Robles,Nationals,OF,21,2019
4,Fernando Tatis Jr.,Padres,SS,20,2019
5,Nick Senzel,Reds,3B,23,2019
6,Pete Alonso,Mets,1B,24,2019
7,Wander Franco,Rays,SS,17,2021
8,Royce Lewis,Twins,SS,19,2021
9,Kyle Tucker,Astros,OF,21,2019
10,Bo Bichette,Blue Jays,SS,20,2019
11,Keston Hiura,Brewers,2B,22,2019
12,Jo Adell,Angels,OF,19,2020
13,Alex Kirilloff,Twins,OF,20,2020
14,Taylor Trammell,Reds,OF,21,2021
15,Trevor Larnach,Twins,OF,21,2020
16,Carter Kieboom,Nationals,SS,21,2020
17,Luis Urias,Padres,2B,21,2018
18,Yordan Alvarez,Astros,1B,21,2019
19,Garrett Hampson,Rockies,2B,24,2019
20,Gavin Lux,Dodgers,2B/SS,21,2020
21,Nate Lowe,Rays,1B,23,2019
22,Vidal Brujan,Rays,2B,20,2021
23,Jonathan India,Reds,3B,21,2020
24,Xavier Edwards,Padres,SS,19,2021
25,Nolan Jones,Indians,3B,20,2020
26,Estevan Florial,Yankees,OF,21,2020
27,Nico Hoerner,Cubs,SS/2B,21,2020
28,Nolan Gorman,Cardinals,3B,18,2022
29,George Valera,Indians,OF,18,2022
30,Brandon Marsh,Angels,OF,21,2021
31,Kristian Robinson,Diamondbacks,OF,18,2023
32,Alex Verdugo,Dodgers,OF,22,2019
33,Brendan Rodgers,Rockies,SS,22,2019
34,Luis Robert,White Sox,OF,21,2020
35,Khalil Lee,Royals,OF,20,2022
36,Austin Riley,Braves,3B,21,2019
37,Hudson Potts,Padres,SS/3B,20,2020
38,Danny Jansen,Blue Jays,C,23,2018
39,Yusniel Diaz,Orioles,OF,21,2019
40,Jordyn Adams,Angels,OF,19,2023
41,Mark Vientos,Mets,3B/SS,19,2022
42,Ke'Bryan Hayes,Pirates,3B,21,2020
43,Andres Gimenez,Mets,SS,20,2020
44,Christin Stewart,Tigers,OF,25,2018
45,Brandon Lowe,Rays,2B/OF,24,2018
46,Jesus Sanchez,Rays,OF,21,2021
47,Jeter Downs,Dodgers,SS,20,2021
48,Jarred Kelenic,Mariners,OF,19,2022
49,Nick Madrigal,White Sox,2B,21,2020
50,Sherten Apostel,Rangers,3B,20,2022
51,Ronny Mauricio,Mets,SS,17,2023
52,Bubba Thompson,Rangers,OF,20,2022
53,Ryan McKenna,Orioles,OF,21,2019
54,Dan Vogelbach,Mariners,1B/DH,26,2019
55,Antonio Cabello,Yankees,OF,18,2023
56,Zack Collins,White Sox,C/1B,23,2019
57,Jhon Torres,Cardinals,OF,18,2022
58,Luis Garcia (WAS),Nationals,2B,18,2021
59,Drew Waters,Braves,OF,20,2021
60,Tyler Nevin,Rockies,1B,21,2020
61,Marco Luciano,Giants,3B,17,2023
62,Jordan Groshans,Blue Jays,3B/SS,19,2022
63,Kevin Smith,Blue Jays,SS,22,2020
64,Monte Harrison,Marlins,OF,23,2020
65,Julio Rodriguez,Mariners,OF,18,2023
66,Myles Straw,Astros,OF,24,2019
67,Elehuris Montero,Cardinals,3B,20,2020
68,Alec Bohm,Phillies,3B,22,2020
69,Brayan Rocchio,Indians,SS/3B,18,2022
70,Isaac Paredes,Tigers,SS,19,2019
71,Jorge Mateo,A's,SS,23,2019
72,Malcom Nunez,Cardinals,1B,17,2023
73,Isan Diaz,Marlins,2B,22,2019
74,Austin Beck,A's,OF,20,2022
75,Jazz Chisholm,Diamondbacks,SS,20,2020
76,Oneil Cruz,Pirates,SS,20,2021
77,Alexander Canario,Giants,OF,18,2022
78,Seuly Matias,Royals,OF,22,2022
79,Keibert Ruiz,Dodgers,C,20,2020
80,Wander Javier,Twins,SS,19,2022
81,Grant Lavigne,Rockies,1B,19,2022
82,Daulton Varsho,Diamondbacks,C,22,2021
83,Heliot Ramos,Giants,OF,19,2022
84,Nick Pratto,Royals,1B,20,2021
85,Colton Welker,Rockies,3B,21,2021
86,Daz Cameron,Tigers,OF,22,2019
87,Will Benson,Indians,OF,21,2022
88,Francisco Mejia,Padres,C,22,2018
89,Joey Bart,Giants,C,22,2020
90,Ryan Noda,Blue Jays,1B,22,2021
91,DJ Peters,Dodgers,OF,23,2020
92,Cristian Pache,Braves,OF,20,2021
93,Cole Roederer,Cubs,OF,19,2022
94,Nick Solak,Rays,C,24,2019
95,Brice Turang,Brewers,SS,19,2022
96,Cal Stevenson,Blue Jays,OF,22,2021
97,Cole Tucker,Pirates,SS,22,2020
98,Geraldo Perdomo,Diamondbacks,SS,18,2023
99,Akil Baddoo,Twins,OF,20,2021
100,Jack Herman,Pirates,OF,19,2023
